,All patients,Ideal,NIHSS < 5,Estimated onset time,mRS > 2,Age > 80,Arrival-to-scan 60-90,Haemorrhagic,Used AF anticoagulants,Onset-to-arrival time 150-180,Onset during sleep,NIHSS + Precise,NIHSS + Disability,Precise + Disability,NIHSS + Precise + Disability
GKONI0110I,41.32,100.0,18.579818473037907,19.7930485539931,24.5069033530572,33.90070921985816,17.027417027417027,0.0,9.826589595375722,32.78855975485189,1.1820330969267139,3.8050734312416554,1.8036072144288577,7.240293809024134,0.0
GLRVJ5773V,32.22,100.0,6.673785371062467,12.682409127089414,14.940828402366865,25.721040189125294,7.215007215007215,0.0,5.284888521882741,24.310520939734424,2.8368794326241136,0.06675567423230974,0.2004008016032064,3.147953830010493,0.0
GRCGI3873D,26.400000000000002,100.0,3.363587827015483,10.427169010347573,7.790927021696252,20.40189125295508,3.751803751803752,0.0,0.6606110652353426,19.918283963227783,0.2364066193853428,0.06675567423230974,0.0,0.5246589716684155,0.0
GWOXR9160G,33.43,100.0,7.6348104644954615,13.186521623772885,15.532544378698224,27.990543735224588,9.956709956709958,0.0,7.679603633360858,24.616956077630235,0.0,0.33377837116154874,0.4008016032064128,2.2035676810073452,0.0
HBFCN1575G,38.11,100.0,18.419647624132406,11.753780843725126,26.9723865877712,32.009456264775416,15.151515151515152,0.0,6.7712634186622624,29.213483146067414,0.0,2.6034712950600802,4.408817635270541,6.715634837355719,0.0
HGGNH9018F,27.01,100.0,6.460224239188468,4.059432210135315,9.467455621301776,21.04018912529551,7.503607503607504,0.0,1.6515276630883566,16.649642492339122,0.2364066193853428,0.13351134846461948,0.0,0.1049317943336831,0.0
HONZP0443O,27.18,100.0,4.965296316070475,6.341204563544707,10.798816568047338,21.891252955082745,5.772005772005772,0.0,0.990916597853014,18.283963227783453,0.0,0.06675567423230974,0.0,0.1049317943336831,0.0
HPWIF9956L,41.31,100.0,21.783235451147892,12.549747943751658,29.88165680473373,36.6193853427896,21.06782106782107,0.0,16.01981833195706,28.70275791624106,0.4728132387706856,1.6688918558077435,13.226452905811623,5.141657922350472,1.1494252873563218
HREGJ0143U,26.0,100.0,4.05766150560598,7.535155213584504,9.122287968441814,21.04018912529551,4.040404040404041,0.0,2.3947151114781176,18.590398365679263,0.2364066193853428,0.06675567423230974,0.0,1.888772298006296,0.0
HYCCK3082L,16.41,100.0,0.2402562733582488,2.387901300079597,3.5502958579881656,6.193853427895981,2.0202020202020203,0.0,0.08257638315441783,9.805924412665986,0.0,0.0,0.0,0.2098635886673662,0.0
HYNBH3271L,21.240000000000002,100.0,3.737319807794982,0.8755638100291854,4.930966469428008,14.397163120567377,6.0606060606060606,0.0,0.0,6.537282941777324,0.0,0.0,0.0,0.0,0.0
HZMLX7970T,11.49,87.24137931034483,0.026695141484249865,1.1939506500397985,1.8737672583826428,8.416075650118202,1.1544011544011543,0.0,1.486374896779521,5.005107252298264,0.0,0.0,0.0,0.0,0.0
HZNVT9936G,32.06,100.0,9.93059263214095,0.4510480233483683,27.071005917159763,28.794326241134755,11.3997113997114,0.0,8.340214698596201,22.47191011235955,0.0,0.0,4.208416833667335,0.0,0.0
IATJE0497S,20.34,100.0,0.2669514148424987,0.10612894667020428,8.629191321499013,16.35933806146572,3.6075036075036073,0.0,1.3212221304706853,11.8488253319714,0.0,0.0,0.0,0.0,0.0
IAZKG9244A,37.57,100.0,12.146289375333689,18.333775537277795,26.873767258382642,32.90780141843971,8.225108225108226,0.0,10.156895127993394,27.987742594484168,1.6548463356973995,3.871829105473965,1.402805611222445,8.289611752360965,0.0
IDHVL2894N,24.64,100.0,0.9610250934329952,5.253382860175113,10.355029585798817,21.347517730496453,5.339105339105339,0.0,1.568951279933939,16.75178753830439,0.0,0.06675567423230974,0.0,0.5246589716684155,0.0
ISIZF6614O,24.0,100.0,2.1089161772557397,2.892013796763067,9.664694280078894,19.59810874704492,6.349206349206349,0.0,3.5507844756399667,11.235955056179774,0.0,0.0,0.2004008016032064,0.2098635886673662,0.0
ISXKM9668U,15.21,97.24137931034483,1.2813667912439934,3.396126293446537,4.585798816568047,12.860520094562647,1.2987012987012987,0.0,1.3212221304706853,5.720122574055159,0.0,0.0,0.2004008016032064,1.049317943336831,0.0
ITFRR7678Y,27.139999999999997,100.0,8.08862786972771,7.216768373573893,8.185404339250493,15.20094562647754,5.772005772005772,0.0,1.8166804293971925,17.87538304392237,0.2364066193853428,0.0,0.0,0.7345225603357817,0.0
IUMNL9626U,20.580000000000002,100.0,0.8809396689802456,5.624834173520828,15.088757396449704,19.29078014184397,1.2987012987012987,0.0,3.4682080924855487,3.3707865168539324,0.0,0.0,0.0,3.6726128016789086,0.0
IWINL6248B,26.200000000000003,100.0,5.232247730912974,6.235075616874503,9.664694280078894,20.023640661938536,3.6075036075036073,0.0,0.9083402146985963,18.07967313585291,0.0,0.06675567423230974,0.0,0.1049317943336831,0.0
